7500202,03175,1058,0128,01
7640202,03175,1109,0128,01
7590202,03175,1102,0128,08
6640202,03175,1607,0128,00
6670202,03175,1611,0128,07
6800202,03175,1614,0128,07
6810202,03175,1619,0128,00
6930202,03175,1622,0128,00
7000202,03175,1625,0128,00
7080202,03175,1627,0128,01
7120202,03175,1629,0128,01
7230202,03175,1633,0128,02
7290202,03175,1635,0128,07
7400202,03175,1641,0128,06
7680202,03175,1650,0128,05
9980202,03175,1814,0128,01
5640202,03175,0852,0128,06
5790202,03175,0857,0128,09
5350202,03175,0811,0128,06
5600202,03175,0834,0128,07
6040202,03175,0915,0128,05
5530202,03175,0826,0128,02
6070202,03175,0918,0128,05
5240202,03175,0755,0128,08
5300202,03175,0759,0128,01
6000202,03175,0910,0128,08
5970202,03175,0905,0128,03
6340202,03175,0943,0128,08
6130202,03175,0923,0128,06
6220202,03175,0930,0128,08
6410202,03175,0947,0128,09
6290202,03175,0932,0128,01
5220202,03175,0746,0128,04
5050202,03175,0728,0128,01
6580202,03175,0958,0128,09
6540202,03175,0955,0128,01
5160202,03175,0737,0128,07
4990202,03175,0720,0128,05
6480202,03175,0949,0128,02
6920202,03175,1027,0128,03
6810202,03175,1018,0128,07
6650202,03175,1001,0128,09
6710202,03175,1008,0128,00
6690202,03175,1003,0128,09
4980202,03175,0712,0128,07
6780202,03175,1012,0128,09
4880202,03175,0700,0128,02
7020202,03175,1029,0128,08
7260202,03175,1041,0128,01
7190202,03175,1037,0128,02
7320202,03175,1047,0128,03
7390202,03175,1052,0128,00
7450202,03175,1056,0128,03
7500202,03175,1058,0128,01
7590202,03175,1102,0128,08
7640202,03175,1109,0128,01
7750202,03175,1111,0128,03
7910202,03175,1116,0128,05
0880202,03175,1237,0128,00
0850202,03175,1234,0128,09
4000202,03175,1416,0128,00
